=== Suite started at 2021-12-11 00:10:31
=== Starting test, 1586 test cases
=cases         1586
=logfile       ejabberd_suite.end_per_group.6178.html
=group_props   [{name,roster_single},sequence]
=started       2021-12-11 00:11:02
=ended         2021-12-11 00:11:02
=result        ok
=elapsed       4.0e-6
=group_time    1.166s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.6194.html
=group_props   [{name,private_single},sequence]
=started       2021-12-11 00:11:02
=ended         2021-12-11 00:11:02
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:private_test_features
=logfile       ejabberd_suite.private_test_features.html
=started       2021-12-11 00:11:02
=ended         2021-12-11 00:11:02
=result        ok
=elapsed       0.10323
=case          ejabberd_SUITE:private_test_no_namespace
=logfile       ejabberd_suite.private_test_no_namespace.html
=started       2021-12-11 00:11:02
=ended         2021-12-11 00:11:02
=result        ok
=elapsed       0.107631
=case          ejabberd_SUITE:private_test_set_get
=logfile       ejabberd_suite.private_test_set_get.html
=started       2021-12-11 00:11:02
=ended         2021-12-11 00:11:02
=result        ok
=elapsed       0.125392
=case          ejabberd_SUITE:private_test_published
=logfile       ejabberd_suite.private_test_published.html
=started       2021-12-11 00:11:02
=ended         2021-12-11 00:11:02
=result        ok
=elapsed       0.104715
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.5587.html
=group_props   [{name,private_single},sequence]
=started       2021-12-11 00:11:02
=ended         2021-12-11 00:11:02
=result        ok
=elapsed       5.0e-6
=group_time    0.615s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.5603.html
=group_props   [{name,privacy_single},sequence]
=started       2021-12-11 00:11:02
=ended         2021-12-11 00:11:02
=result        ok
=elapsed       6.0e-6
=case          ejabberd_SUITE:privacy_feature_enabled
=logfile       ejabberd_suite.privacy_feature_enabled.html
=started       2021-12-11 00:11:02
=ended         2021-12-11 00:11:03
=result        ok
=elapsed       0.103276
=case          ejabberd_SUITE:privacy_set_get_list
=logfile       ejabberd_suite.privacy_set_get_list.html
=started       2021-12-11 00:11:03
=ended         2021-12-11 00:11:03
=result        ok
=elapsed       0.106248
=case          ejabberd_SUITE:privacy_get_list_non_existent
=logfile       ejabberd_suite.privacy_get_list_non_existent.html
=started       2021-12-11 00:11:03
=ended         2021-12-11 00:11:03
=result        ok
=elapsed       0.102875
=case          ejabberd_SUITE:privacy_get_empty_lists
=logfile       ejabberd_suite.privacy_get_empty_lists.html
=started       2021-12-11 00:11:03
=ended         2021-12-11 00:11:03
=result        ok
=elapsed       0.102689
=case          ejabberd_SUITE:privacy_set_default
=logfile       ejabberd_suite.privacy_set_default.html
=started       2021-12-11 00:11:03
=ended         2021-12-11 00:11:03
=result        ok
=elapsed       0.105768
=case          ejabberd_SUITE:privacy_del_default
=logfile       ejabberd_suite.privacy_del_default.html
=started       2021-12-11 00:11:03
=ended         2021-12-11 00:11:03
=result        ok
=elapsed       0.107681
=case          ejabberd_SUITE:privacy_set_default_non_existent
=logfile       ejabberd_suite.privacy_set_default_non_existent.html
=started       2021-12-11 00:11:03
=ended         2021-12-11 00:11:03
=result        ok
=elapsed       0.103685
=case          ejabberd_SUITE:privacy_set_active
=logfile       ejabberd_suite.privacy_set_active.html
=started       2021-12-11 00:11:03
=ended         2021-12-11 00:11:04
=result        ok
=elapsed       0.105725
=case          ejabberd_SUITE:privacy_del_active
=logfile       ejabberd_suite.privacy_del_active.html
=started       2021-12-11 00:11:04
=ended         2021-12-11 00:11:04
=result        ok
=elapsed       0.106321
=case          ejabberd_SUITE:privacy_set_active_non_existent
=logfile       ejabberd_suite.privacy_set_active_non_existent.html
=started       2021-12-11 00:11:04
=ended         2021-12-11 00:11:04
=result        ok
=elapsed       0.102273
=case          ejabberd_SUITE:privacy_remove_list
=logfile       ejabberd_suite.privacy_remove_list.html
=started       2021-12-11 00:11:04
=ended         2021-12-11 00:11:04
=result        ok
=elapsed       0.105787
=case          ejabberd_SUITE:privacy_remove_default_list
=logfile       ejabberd_suite.privacy_remove_default_list.html
=started       2021-12-11 00:11:04
=ended         2021-12-11 00:11:04
=result        ok
=elapsed       0.105218
=case          ejabberd_SUITE:privacy_remove_active_list
=logfile       ejabberd_suite.privacy_remove_active_list.html
=started       2021-12-11 00:11:04
=ended         2021-12-11 00:11:04
=result        ok
=elapsed       0.106017
=case          ejabberd_SUITE:privacy_remove_list_non_existent
=logfile       ejabberd_suite.privacy_remove_list_non_existent.html
=started       2021-12-11 00:11:04
=ended         2021-12-11 00:11:04
=result        ok
=elapsed       0.102972
=case          ejabberd_SUITE:privacy_allow_local_server
=logfile       ejabberd_suite.privacy_allow_local_server.html
=started       2021-12-11 00:11:04
=ended         2021-12-11 00:11:05
=result        ok
=elapsed       0.111381
=case          ejabberd_SUITE:privacy_malformed_iq_query
=logfile       ejabberd_suite.privacy_malformed_iq_query.html
=started       2021-12-11 00:11:05
=ended         2021-12-11 00:11:05
=result        ok
=elapsed       0.104568
=case          ejabberd_SUITE:privacy_malformed_get
=logfile       ejabberd_suite.privacy_malformed_get.html
=started       2021-12-11 00:11:05
=ended         2021-12-11 00:11:05
=result        ok
=elapsed       0.113474
=case          ejabberd_SUITE:privacy_malformed_set
=logfile       ejabberd_suite.privacy_malformed_set.html
=started       2021-12-11 00:11:05
=ended         2021-12-11 00:11:05
=result        ok
=elapsed       0.106267
=case          ejabberd_SUITE:privacy_malformed_type_value
=logfile       ejabberd_suite.privacy_malformed_type_value.html
=started       2021-12-11 00:11:05
=ended         2021-12-11 00:11:05
=result        ok
=elapsed       0.105911
=case          ejabberd_SUITE:privacy_set_get_block
=logfile       ejabberd_suite.privacy_set_get_block.html
=started       2021-12-11 00:11:05
=ended         2021-12-11 00:11:05
=result        ok
=elapsed       0.108464
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.6658.html
=group_props   [{name,privacy_single},sequence]
=started       2021-12-11 00:11:05
=ended         2021-12-11 00:11:05
=result        ok
=elapsed       4.0e-6
=group_time    2.865s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.6674.html
=group_props   [{name,vcard_single},sequence]
=started       2021-12-11 00:11:05
=ended         2021-12-11 00:11:05
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:vcard_feature_enabled
=logfile       ejabberd_suite.vcard_feature_enabled.html
=started       2021-12-11 00:11:05
=ended         2021-12-11 00:11:05
=result        ok
=elapsed       0.106163
=case          ejabberd_SUITE:vcard_get_set
=logfile       ejabberd_suite.vcard_get_set.html
=started       2021-12-11 00:11:05
=ended         2021-12-11 00:11:06
=result        ok
=elapsed       0.105122
=case          ejabberd_SUITE:vcard_service_vcard
=logfile       ejabberd_suite.vcard_service_vcard.html
=started       2021-12-11 00:11:06
=ended         2021-12-11 00:11:06
=result        ok
=elapsed       0.113632
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.5923.html
=group_props   [{name,vcard_single},sequence]
=started       2021-12-11 00:11:06
=ended         2021-12-11 00:11:06
=result        ok
=elapsed       4.0e-6
=group_time    0.468s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.5939.html
=group_props   [{name,pubsub_single},sequence]
=started       2021-12-11 00:11:06
=ended         2021-12-11 00:11:06
=result        ok
=elapsed       6.0e-6
=case          ejabberd_SUITE:pubsub_test_features
=logfile       ejabberd_suite.pubsub_test_features.html
=started       2021-12-11 00:11:06
=ended         2021-12-11 00:11:06
=result        ok
=elapsed       0.103593
=case          ejabberd_SUITE:pubsub_test_vcard
=logfile       ejabberd_suite.pubsub_test_vcard.html
=started       2021-12-11 00:11:06
=ended         2021-12-11 00:11:06
=result        ok
=elapsed       0.10356
=case          ejabberd_SUITE:pubsub_test_create
=logfile       ejabberd_suite.pubsub_test_create.html
=started       2021-12-11 00:11:06
=ended         2021-12-11 00:11:06
=result        ok
=elapsed       0.103152
=case          ejabberd_SUITE:pubsub_test_configure
=logfile       ejabberd_suite.pubsub_test_configure.html
=started       2021-12-11 00:11:06
=ended         2021-12-11 00:11:06
=result        ok
=elapsed       0.117184
=case          ejabberd_SUITE:pubsub_test_delete
=logfile       ejabberd_suite.pubsub_test_delete.html
=started       2021-12-11 00:11:06
=ended         2021-12-11 00:11:07
=result        ok
=elapsed       0.103895
=case          ejabberd_SUITE:pubsub_test_get_affiliations
=logfile       ejabberd_suite.pubsub_test_get_affiliations.html
=started       2021-12-11 00:11:07
=ended         2021-12-11 00:11:07
=result        ok
=elapsed       0.115522
=case          ejabberd_SUITE:pubsub_test_get_subscriptions
=logfile       ejabberd_suite.pubsub_test_get_subscriptions.html
=started       2021-12-11 00:11:07
=ended         2021-12-11 00:11:07
=result        ok
=elapsed       0.12332
=case          ejabberd_SUITE:pubsub_test_create_instant
=logfile       ejabberd_suite.pubsub_test_create_instant.html
=started       2021-12-11 00:11:07
=ended         2021-12-11 00:11:07
=result        ok
=elapsed       0.104731
=case          ejabberd_SUITE:pubsub_test_default
=logfile       ejabberd_suite.pubsub_test_default.html
=started       2021-12-11 00:11:07
=ended         2021-12-11 00:11:07
=result        ok
=elapsed       0.10427
=case          ejabberd_SUITE:pubsub_test_create_configure
=logfile       ejabberd_suite.pubsub_test_create_configure.html
=started       2021-12-11 00:11:07
=ended         2021-12-11 00:11:07
=result        ok
=elapsed       0.11009
=case          ejabberd_SUITE:pubsub_test_publish
=logfile       ejabberd_suite.pubsub_test_publish.html
=started       2021-12-11 00:11:07
=ended         2021-12-11 00:11:07
=result        ok
=elapsed       0.105913
=case          ejabberd_SUITE:pubsub_test_auto_create
=logfile       ejabberd_suite.pubsub_test_auto_create.html
=started       2021-12-11 00:11:07
=ended         2021-12-11 00:11:08
=result        ok
=elapsed       0.105267
=case          ejabberd_SUITE:pubsub_test_get_items
=logfile       ejabberd_suite.pubsub_test_get_items.html
=started       2021-12-11 00:11:08
=ended         2021-12-11 00:11:08
=result        ok
=elapsed       0.113637
=case          ejabberd_SUITE:pubsub_test_delete_item
=logfile       ejabberd_suite.pubsub_test_delete_item.html
=started       2021-12-11 00:11:08
=ended         2021-12-11 00:11:08
=result        ok
=elapsed       0.109136
=case          ejabberd_SUITE:pubsub_test_purge
=logfile       ejabberd_suite.pubsub_test_purge.html
=started       2021-12-11 00:11:08
=ended         2021-12-11 00:11:08
=result        ok
=elapsed       0.117697
=case          ejabberd_SUITE:pubsub_test_subscribe
=logfile       ejabberd_suite.pubsub_test_subscribe.html
=started       2021-12-11 00:11:08
=ended         2021-12-11 00:11:08
=result        ok
=elapsed       0.110544
=case          ejabberd_SUITE:pubsub_test_subscribe_max_item_1
=logfile       ejabberd_suite.pubsub_test_subscribe_max_item_1.html
=started       2021-12-11 00:11:08
=ended         2021-12-11 00:11:08
=result        ok
=elapsed       0.110704
=case          ejabberd_SUITE:pubsub_test_unsubscribe
=logfile       ejabberd_suite.pubsub_test_unsubscribe.html
=started       2021-12-11 00:11:08
=ended         2021-12-11 00:11:08
=result        ok
=elapsed       0.108705
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.6291.html
=group_props   [{name,pubsub_single},sequence]
=started       2021-12-11 00:11:08
=ended         2021-12-11 00:11:08
=result        ok
=elapsed       5.0e-6
=group_time    2.693s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.6994.html
=group_props   [{name,muc_single},sequence]
=started       2021-12-11 00:11:08
=ended         2021-12-11 00:11:09
=result        ok
=elapsed       6.0e-6
=case          ejabberd_SUITE:muc_service_presence_error
=logfile       ejabberd_suite.muc_service_presence_error.7010.html
=started       2021-12-11 00:11:09
=ended         2021-12-11 00:11:09
=result        ok
=elapsed       0.106527
=case          ejabberd_SUITE:muc_service_message_error
=logfile       ejabberd_suite.muc_service_message_error.6339.html
=started       2021-12-11 00:11:09
=ended         2021-12-11 00:11:09
=result        ok
=elapsed       0.108524
=case          ejabberd_SUITE:muc_service_unknown_ns_iq_error
=logfile       ejabberd_suite.muc_service_unknown_ns_iq_error.6371.html
=started       2021-12-11 00:11:09
=ended         2021-12-11 00:11:09
=result        ok
=elapsed       0.106564
=case          ejabberd_SUITE:muc_service_iq_set_error
=logfile       ejabberd_suite.muc_service_iq_set_error.6403.html
=started       2021-12-11 00:11:09
=ended         2021-12-11 00:11:09
=result        ok
=elapsed       0.150814
=case          ejabberd_SUITE:muc_service_improper_iq_error
=logfile       ejabberd_suite.muc_service_improper_iq_error.7058.html
=started       2021-12-11 00:11:09
=ended         2021-12-11 00:11:09
=result        ok
=elapsed       0.109708
=case          ejabberd_SUITE:muc_service_features
=logfile       ejabberd_suite.muc_service_features.7090.html
=started       2021-12-11 00:11:09
=ended         2021-12-11 00:11:09
=result        ok
=elapsed       0.102645
=case          ejabberd_SUITE:muc_service_disco_info_node_error
=logfile       ejabberd_suite.muc_service_disco_info_node_error.7106.html
=started       2021-12-11 00:11:09
=ended         2021-12-11 00:11:10
=result        ok
=elapsed       0.10255
=case          ejabberd_SUITE:muc_service_disco_items
=logfile       ejabberd_suite.muc_service_disco_items.7138.html
=started       2021-12-11 00:11:10
=ended         2021-12-11 00:11:10
=result        ok
=elapsed       0.144561
=case          ejabberd_SUITE:muc_service_unique
=logfile       ejabberd_suite.muc_service_unique.7186.html
=started       2021-12-11 00:11:10
=ended         2021-12-11 00:11:10
=result        ok
=elapsed       0.102843
=case          ejabberd_SUITE:muc_service_vcard
=logfile       ejabberd_suite.muc_service_vcard.7234.html
=started       2021-12-11 00:11:10
=ended         2021-12-11 00:11:10
=result        ok
=elapsed       0.103478
=case          ejabberd_SUITE:muc_configure_non_existent
=logfile       ejabberd_suite.muc_configure_non_existent.7266.html
=started       2021-12-11 00:11:10
=ended         2021-12-11 00:11:10
=result        ok
=elapsed       0.105721
=case          ejabberd_SUITE:muc_cancel_configure_non_existent
=logfile       ejabberd_suite.muc_cancel_configure_non_existent.7298.html
=started       2021-12-11 00:11:10
=ended         2021-12-11 00:11:10
=result        ok
=elapsed       0.103023
=case          ejabberd_SUITE:muc_service_subscriptions
=logfile       ejabberd_suite.muc_service_subscriptions.7314.html
=started       2021-12-11 00:11:10
=ended         2021-12-11 00:11:10
=result        ok
=elapsed       0.159508
=case          ejabberd_SUITE:muc_set_room_affiliation
=logfile       ejabberd_suite.muc_set_room_affiliation.7362.html
=started       2021-12-11 00:11:10
=ended         2021-12-11 00:11:11
=result        ok
=elapsed       0.111811
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.6771.html
=group_props   [{name,muc_single},sequence]
=started       2021-12-11 00:11:11
=ended         2021-12-11 00:11:11
=result        ok
=elapsed       7.0e-6
=group_time    2.153s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.7394.html
=group_props   [{name,offline_single},sequence]
=started       2021-12-11 00:11:11
=ended         2021-12-11 00:11:11
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:offline_feature_enabled
=logfile       ejabberd_suite.offline_feature_enabled.html
=started       2021-12-11 00:11:11
=ended         2021-12-11 00:11:11
=result        ok
=elapsed       0.103702
=case          ejabberd_SUITE:offline_check_identity
=logfile       ejabberd_suite.offline_check_identity.html
=started       2021-12-11 00:11:11
=ended         2021-12-11 00:11:11
=result        ok
=elapsed       0.108443
=case          ejabberd_SUITE:offline_send_non_existent
=logfile       ejabberd_suite.offline_send_non_existent.html
=started       2021-12-11 00:11:11
=ended         2021-12-11 00:11:11
=result        ok
=elapsed       0.103115
=case          ejabberd_SUITE:offline_view_non_existent
=logfile       ejabberd_suite.offline_view_non_existent.html
=started       2021-12-11 00:11:11
=ended         2021-12-11 00:11:11
=result        ok
=elapsed       0.102928
=case          ejabberd_SUITE:offline_remove_non_existent
=logfile       ejabberd_suite.offline_remove_non_existent.html
=started       2021-12-11 00:11:11
=ended         2021-12-11 00:11:11
=result        ok
=elapsed       0.102784
=case          ejabberd_SUITE:offline_view_non_integer
=logfile       ejabberd_suite.offline_view_non_integer.html
=started       2021-12-11 00:11:11
=ended         2021-12-11 00:11:12
=result        ok
=elapsed       0.102748
=case          ejabberd_SUITE:offline_remove_non_integer
=logfile       ejabberd_suite.offline_remove_non_integer.html
=started       2021-12-11 00:11:12
=ended         2021-12-11 00:11:12
=result        ok
=elapsed       0.102914
=case          ejabberd_SUITE:offline_malformed_iq
=logfile       ejabberd_suite.offline_malformed_iq.html
=started       2021-12-11 00:11:12
=ended         2021-12-11 00:11:12
=result        ok
=elapsed       0.107744
=case          ejabberd_SUITE:offline_wrong_user
=logfile       ejabberd_suite.offline_wrong_user.html
=started       2021-12-11 00:11:12
=ended         2021-12-11 00:11:12
=result        ok
=elapsed       0.11491
=case          ejabberd_SUITE:offline_unsupported_iq
=logfile       ejabberd_suite.offline_unsupported_iq.html
=started       2021-12-11 00:11:12
=ended         2021-12-11 00:11:12
=result        ok
=elapsed       0.103561
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.7570.html
=group_props   [{name,offline_single},sequence]
=started       2021-12-11 00:11:12
=ended         2021-12-11 00:11:12
=result        ok
=elapsed       2.0e-5
=group_time    1.456s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.7586.html
=group_props   [{name,mam_single},sequence]
=started       2021-12-11 00:11:12
=ended         2021-12-11 00:11:12
=result        ok
=elapsed       6.0e-6
=case          ejabberd_SUITE:mam_feature_enabled
=logfile       ejabberd_suite.mam_feature_enabled.html
=started       2021-12-11 00:11:12
=ended         2021-12-11 00:11:12
=result        ok
=elapsed       0.106869
=case          ejabberd_SUITE:mam_get_set_prefs
=logfile       ejabberd_suite.mam_get_set_prefs.html
=started       2021-12-11 00:11:12
=ended         2021-12-11 00:11:14
=result        ok
=elapsed       1.894769
=case          ejabberd_SUITE:mam_get_form
=logfile       ejabberd_suite.mam_get_form.html
=started       2021-12-11 00:11:14
=ended         2021-12-11 00:11:14
=result        ok
=elapsed       0.115323
=case          ejabberd_SUITE:mam_fake_by
=logfile       ejabberd_suite.mam_fake_by.html
=started       2021-12-11 00:11:14
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       0.103596
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.7714.html
=group_props   [{name,mam_single},sequence]
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       1.7e-5
=group_time    2.395s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.7730.html
=group_props   [{name,csi_single},sequence]
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:csi_feature_enabled
=logfile       ejabberd_suite.csi_feature_enabled.html
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       0.10216
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.7762.html
=group_props   [{name,csi_single},sequence]
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       1.8e-5
=group_time    0.168s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.7778.html
=group_props   [{name,push_single},sequence]
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       7.0e-6
=case          ejabberd_SUITE:push_feature_enabled
=logfile       ejabberd_suite.push_feature_enabled.html
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       0.10317
=case          ejabberd_SUITE:push_unsupported_iq
=logfile       ejabberd_suite.push_unsupported_iq.html
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       0.110814
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.7858.html
=group_props   [{name,push_single},sequence]
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       1.7e-5
=group_time    0.314s
=case          ejabberd_SUITE:test_unregister
=logfile       ejabberd_suite.test_unregister.html
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       0.005406
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.7011.html
=group_props   [{name,single_user},sequence]
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       4.0e-6
=group_time    15.674s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.7027.html
=group_props   [{name,muc_master_slave},sequence]
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       1.1e-5
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.7043.html
=group_props   [{name,muc_register},parallel]
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_register_master
=logfile       ejabberd_suite.muc_register_master.7059.html
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       0.118091
=case          ejabberd_SUITE:muc_register_slave
=logfile       ejabberd_suite.muc_register_slave.7075.html
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       0.113971
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.7139.html
=group_props   [{name,muc_register},parallel]
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       4.0e-6
=group_time    0.187s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.7155.html
=group_props   [{name,muc_groupchat_msg},parallel]
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:15
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_groupchat_msg_master
=logfile       ejabberd_suite.muc_groupchat_msg_master.7171.html
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       0.121151
=case          ejabberd_SUITE:muc_groupchat_msg_slave
=logfile       ejabberd_suite.muc_groupchat_msg_slave.7187.html
=started       2021-12-11 00:11:15
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       0.115839
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.7235.html
=group_props   [{name,muc_groupchat_msg},parallel]
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       4.0e-6
=group_time    0.188s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.7251.html
=group_props   [{name,muc_private_msg},parallel]
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_private_msg_master
=logfile       ejabberd_suite.muc_private_msg_master.7267.html
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       0.122532
=case          ejabberd_SUITE:muc_private_msg_slave
=logfile       ejabberd_suite.muc_private_msg_slave.7283.html
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       0.113053
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.7331.html
=group_props   [{name,muc_private_msg},parallel]
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       4.0e-6
=group_time    0.190s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.7347.html
=group_props   [{name,muc_set_subject},parallel]
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:muc_set_subject_master
=logfile       ejabberd_suite.muc_set_subject_master.7363.html
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       0.125594
=case          ejabberd_SUITE:muc_set_subject_slave
=logfile       ejabberd_suite.muc_set_subject_slave.7379.html
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       0.121379
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.7443.html
=group_props   [{name,muc_set_subject},parallel]
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       4.0e-6
=group_time    0.201s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.7459.html
=group_props   [{name,muc_history},parallel]
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:muc_history_master
=logfile       ejabberd_suite.muc_history_master.7475.html
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       0.16046
=case          ejabberd_SUITE:muc_history_slave
=logfile       ejabberd_suite.muc_history_slave.7491.html
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       0.155583
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.8066.html
=group_props   [{name,muc_history},parallel]
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       4.0e-6
=group_time    0.230s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.7539.html
=group_props   [{name,muc_invite},parallel]
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:16
=result        ok
=elapsed       6.0e-6
=case          ejabberd_SUITE:muc_invite_master
=logfile       ejabberd_suite.muc_invite_master.7555.html
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:17
=result        ok
=elapsed       0.112753
=case          ejabberd_SUITE:muc_invite_slave
=logfile       ejabberd_suite.muc_invite_slave.7571.html
=started       2021-12-11 00:11:16
=ended         2021-12-11 00:11:17
=result        ok
=elapsed       0.107421
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.8098.html
=group_props   [{name,muc_invite},parallel]
=started       2021-12-11 00:11:17
=ended         2021-12-11 00:11:17
=result        ok
=elapsed       1.0e-5
=group_time    0.180s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.7651.html
=group_props   [{name,muc_invite_members_only},parallel]
=started       2021-12-11 00:11:17
=ended         2021-12-11 00:11:17
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:muc_invite_members_only_master
=logfile       ejabberd_suite.muc_invite_members_only_master.7667.html
=started       2021-12-11 00:11:17
=ended         2021-12-11 00:11:17
=result        ok
=elapsed       0.113543
=case          ejabberd_SUITE:muc_invite_members_only_slave
=logfile       ejabberd_suite.muc_invite_members_only_slave.7683.html
=started       2021-12-11 00:11:17
=ended         2021-12-11 00:11:17
=result        ok
=elapsed       0.108585
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.8162.html
=group_props   [{name,muc_invite_members_only},parallel]
=started       2021-12-11 00:11:17
=ended         2021-12-11 00:11:17
=result        ok
=elapsed       3.0e-6
=group_time    0.181s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.7731.html
=group_props   [{name,muc_invite_password_protected},parallel]
=started       2021-12-11 00:11:17
=ended         2021-12-11 00:11:17
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:muc_invite_password_protected_master
=logfile       ejabberd_suite.muc_invite_password_protected_master.7747.html
=started       2021-12-11 00:11:17
=ended         2021-12-11 00:11:17
=result        ok
=elapsed       0.112565
=case          ejabberd_SUITE:muc_invite_password_protected_slave
=logfile       ejabberd_suite.muc_invite_password_protected_slave.7763.html
=started       2021-12-11 00:11:17
=ended         2021-12-11 00:11:17
=result        ok
=elapsed       0.108327
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.7811.html
=group_props   [{name,muc_invite_password_protected},parallel]
